@Christmas Savings	33.00	2008-11-01
@Christmas Savings	33.00	2008-12-01
@Christmas Savings	33.00	2009-01-01
@Christmas Savings	396.00	2009-02-01
@Christmas Savings	396.00	2009-03-01
@Christmas Savings	396.00	2009-04-01
@Christmas Savings	396.00	2009-05-01
@Christmas Savings	396.00	2009-06-01
@Christmas Savings	396.00	2009-07-01
@Christmas Savings	396.00	2009-08-01
@Christmas Savings	396.00	2009-09-01
@Christmas Savings	396.00	2009-10-01
@Christmas Savings	396.00	2009-11-01
@Christmas Savings	396.00	2009-12-01
@Christmas Savings	600.00	2010-01-01
@Christmas Savings	600.00	2010-02-01
@Christmas Savings	600.00	2010-03-01
@Christmas Savings	50.00	2010-04-01
@Christmas Savings	50.00	2010-05-01
@Christmas Savings	50.00	2010-06-01
@Christmas Savings	50.00	2010-07-01
@Doctor Savings	65.00	2009-01-01
@Doctor Savings	65.00	2009-02-01
@Doctor Savings	65.00	2009-03-01
@Doctor Savings	65.00	2009-04-01
@Doctor Savings	65.00	2009-05-01
@Doctor Savings	65.00	2009-06-01
@Doctor Savings	65.00	2009-07-01
@Doctor Savings	65.00	2009-08-01
@Doctor Savings	65.00	2009-09-01
@Doctor Savings	65.00	2009-10-01
@Doctor Savings	65.00	2009-11-01
@Doctor Savings	65.00	2009-12-01
@Doctor Savings	65.00	2010-01-01
@Doctor Savings	65.00	2010-02-01
@Doctor Savings	65.00	2010-03-01
@Doctor Savings	65.00	2010-04-01
@Doctor Savings	65.00	2010-05-01
@Doctor Savings	65.00	2010-06-01
@Doctor Savings	65.00	2010-07-01
@Renter's Insurance	100.00	2008-08-01
@Vehicle - Insurance	100.67	2008-09-01
@Vehicle - Insurance	400.04	2008-11-01
@Vehicle - Insurance	400.04	2008-12-01
@Vehicle - Insurance	400.04	2009-01-01
@Vehicle - Insurance	400.04	2009-02-01
@Vehicle - Insurance	400.04	2009-03-01
@Vehicle - Insurance	400.04	2009-04-01
@Vehicle - Insurance	400.04	2009-05-01
@Vehicle - Insurance	400.04	2009-06-01
@Vehicle - Insurance	400.04	2009-07-01
@Vehicle - Insurance	740.94	2009-08-01
@Vehicle - Insurance	823.00	2009-09-01
@Vehicle - Insurance	420.00	2009-10-01
@Vehicle - Insurance	420.00	2009-11-01
@Vehicle - Insurance	420.00	2009-12-01
@Vehicle - Insurance	475.00	2010-01-01
@Vehicle - Insurance	600.00	2010-02-01
@Vehicle - Insurance	600.00	2010-03-01
@Vehicle - Insurance	600.00	2010-04-01
@Vehicle - Insurance	600.00	2010-05-01
@Vehicle - Insurance	600.00	2010-06-01
@Vehicle - Insurance	600.00	2010-07-01
Allowance (Josh)	20.00	2008-09-01
Allowance (Josh)	5.60	2008-10-01
Allowance (Josh)	20.00	2008-11-01
Allowance (Josh)	20.00	2008-12-01
Allowance (Josh)	20.00	2009-01-01
Allowance (Josh)	20.00	2009-02-01
